               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.030468,            0.010185,            0.029338,            0.032741,             0.92857,            0.040246,            0.021205,            0.020288,           0.0091367,            0.047379,            0.001288,            0.001288,            0.001288
                  90,            0.028981,            0.011481,            0.029141,            0.033156,             0.92857,            0.039759,            0.021108,            0.019948,           0.0091756,            0.047367,            0.001189,            0.001189,            0.001189
                  91,            0.027923,            0.011252,            0.029275,            0.033757,             0.92857,            0.039081,            0.023423,            0.018789,           0.0093849,            0.048057,             0.00109,             0.00109,             0.00109
                  92,            0.025898,            0.010981,            0.024675,            0.033236,             0.92857,            0.038711,            0.022651,            0.018481,           0.0093945,            0.048279,            0.000991,            0.000991,            0.000991
                  93,            0.026403,            0.013418,            0.024893,            0.032408,             0.92857,            0.039228,            0.022553,             0.01877,            0.009529,            0.048233,            0.000892,            0.000892,            0.000892
                  94,            0.023023,            0.010177,            0.020721,            0.032331,             0.92857,            0.039933,            0.021145,            0.018846,            0.009612,            0.048238,            0.000793,            0.000793,            0.000793
                  95,            0.027315,            0.010821,            0.033195,            0.032446,             0.92857,            0.039932,            0.021227,            0.019204,           0.0096986,            0.047507,            0.000694,            0.000694,            0.000694
                  96,            0.025309,            0.011749,            0.023805,             0.03271,             0.92857,            0.040085,              0.0206,            0.019184,           0.0097474,            0.047519,            0.000595,            0.000595,            0.000595
                  97,            0.025635,            0.011457,            0.030494,            0.032538,             0.92857,            0.041231,            0.021618,             0.01911,           0.0097626,            0.047765,            0.000496,            0.000496,            0.000496
                  98,            0.026539,            0.010023,            0.020493,            0.032748,             0.92857,            0.040867,            0.021907,            0.019026,           0.0097368,            0.047999,            0.000397,            0.000397,            0.000397
                  99,            0.025752,            0.011196,            0.022708,            0.032635,             0.92857,            0.041164,            0.022055,            0.019219,           0.0097519,            0.048104,            0.000298,            0.000298,            0.000298
